Video Id,Title,Description
h9tukm6tZUw,steelworks 0005,"We have developed and prototyped a new and significantly improved mobile hoist for use in lifting, transporting and unloading objects, whether heavy or light. We have tested this product quite extensively and with excellent results.  This piece of equipment would be useful for salvage yards, auto and truck repair shops, farms, golf courses and many other types of commercial and residential activity.  This development is a result of knowledge and experience gained through years of involvement with currently available equipment."
acsW3eqEgMM,Redcat Racing RC RAMPAGE MT 1/5 SCALE MONSTER TRUCK,"REDCAT RAMPAGE MT 1/5 SCALE

Follow Redcat Racing
Website: http://www.redcatracing.com/
Youtube: https://www.youtube.com/user/RedcatRa...
Instagram: https://www.instagram.com/redcatracing/
Facebook: https://www.facebook.com/RedcatRacing/
Twitter: https://www.twitter.com/redcatracing/"
MPJYusuwvGU,Ford Mustang - 2013 GT California Special and 2003 Mach1,"This is a side by side of my Race Red 2013 GT California Special and my recently sold, 2003 Mach1.  This video is mainly a look at the GT/CS.  The 2013 5.0 is rated at 420 HP and the Mach1 had the 32 valve 4.6 liter (281 ci) which was under rated at 305 HP.  The shaker on the Mach1 was functional and this particular generation was built only in 2003 and 2004 (less than 10,000 produced in 2003). Less than 3,000 GT/CS mustangs were produced in 2013."
d-lI4sMWb2g,Opel Astra 1.4 16v 0-100-210km/h,Opel Astra Hatchback 1.4 16v (x14xe) full acceleration
KL_BMnHz4-o,97 Chevy Lumina Goodbye, 
HhBqHTXeJKg,1968 Camaro SS   SOLD !!     Erics Muscle Cars,http://www.ericsmusclecars.com/car.php?car=392  is proud to offer this VERY FRESH RESTO !! This SS has less than 500 miles on the build and boasts only the best in the build. You will be hard pressed to find a real ZZ car built to these standards for this kind of money.
_mdCHZfrvWA,Breezy Airplane GoPro Camera,An afternoon flight in the Breezy.  Trying out the new GoPro camera.
bovE2NfIWQw,Audi RS2 Belgium,My RS2
OjNpwTc7Ur8,Swiss Armed Forces Transport Platoon,"Swiss Armed Forces
Swisscoy
Kontingent 28/29
Transport Platoon
JLSG"
pEOQ8rTFbc8,'KRANKY' Catching fire at  Summernats 24,Rodney Waters Angry Orange HQ 'KRANKY' goin off on the burnout pad summernats 24
