Video Id,Title,Description
17jZTwVERjc,2Chainz  Mixtape  PSD Template // PSD Included  [See Description For Download] // RoyalX Designz,"DOWNLOAD LINK BELOW:
http://store.payloadz.com/details/997472-photos-and-images-digital-art-royal-x-design-mixtape-cover-template-2012.html


HTTP://ROYALXDESIGNZ.WEEBLY.COM

HTTP://POCAine.com

This CD Artwork Pack was created by Cliff Po and is customized for the entertainment industry. The artwork has the modern day hip hop mixtape album cover look and can be used anyone in the hip hop audience."
DLGRphZ0kuw,One Piece - Soundtrack Guitar Rock Cover (Henry Peters),Meine Seite - http://www.facebook.com/profile.php?id=100000578883521&ref=tn_tnmn#!/pages/Henry-Peters/263635970394877
0ch2wKXP74o,Basin Street Blues (with tutorial),"""Basin Street Blues"" was written by Spencer Williams in 1926. The first 16 bars are often played as a preliminary ""verse"", with improvisation around several choruses of the second 16 bars. I've arranged it in G, and included a slow once-through of the whole tune with on-screen chords."
3sNcnluo_SM,On The Turning Away (Passing Away) David Gilmour-Pink floyd,no description available (nothing needs to be said)
br0qTuQTlcQ,Nuoc Mat Roi 2,bai nay la bai toi danh cho nguoi toi yeu.
KCWeW6OrMt8,Oliver And Company - Why Should I Worry,"Oliver And Company - Why Should I Worry 
Please subscribe and comment 

One minute I'm in Central Park
Then I'm down on Delancey Street
From the Bow'ry to St Marks
There's a syncopated beat

Whoo, whoo, whoo, whoo, whoo
I'm streetwise
I can improvise
Whoo, whoo, whoo, whoo, whoo
I'm streetsmart
I've got New York City heart

Why should I worry?
Why should I care?
I may not have a dime
But I got street savoire faire
Why should I worry?
Why should I care?
It's just bebopulation
And I got street saviore faire

The rhythm of the city
But once you get it down
Then you can own this town
You can wear the crown

Why should I worry?
Why should I care?
I may not have a dime
But I got street savoire faire
Why should I worry?
Why should I care?
It's just bebopulation
And I got street saviore faire

Ev'rything goes
Ev'rything fits
They love me at the Chelsea
They adore me at the Ritz

Why should I worry?
Why should I care?
And even when I cross that line
I got street savoire faire

Whoo, whoo, whoo, whoo, whoo"
m73x5Xi63dc,Papa Kehte Hain Guitar,Jyada Nahin Bas Thoda Sa Besura Hun...So watch it on ur risk
p6SJjBsmqnA,S Y M  RIHANA FEAT BRITNEY SPEARS,"UN DUO PREFECTO ENTRE DOS SUPER ESTRELLAS DE LA MUSICA, RIHANA Y LA REINA DEL POP BRITNEY SPEARS"
hOKwXffjiro,Triggerfinger - Man Down,"(Rihanna Cover)
Live at Astra Berlin, 06.12.2012"
9D1EmbLWhQY,Darshan Doshi in converSAtions season 2 || SudeepAudio.com,"You would have seen him playing in various shows with Shankar Ehsaan Loy, Salim Sulaiman, Amit Trivedi, Ashwin Srinivasan, and many others. Get to know Darshan Doshi  in the forthcoming interview on Sudeep Audio Season 2.

Subscribe to the SA channel to stay updated with such interesting musicians and videos."
p_Tsl380k6g,Goku vs Cell - Die with your boots on,"este es un video q me provoco hacer cuando no tenia nada q hacer. la cancion se llama ""Die with your boots on"" que es originalmente de Iron Maiden pero esta cancion es un cover q les hizo Sonata Arctica. Disfruten!

Atencion: No me pertenecen ninguno de los materiales ni audio ni video usados en este tributo."
yf4-mQDfYbE,DE QUE SIRVE,de que sirve de reik con un amv hecho por su servidor de anime de dna angel bueno espero q les guste y gracias x verlo
0HGOqNo_j60,Blame Halo 3 (unofficial music vid),"THIS ISN'T MY SONG! MY VIDEO, SOME OF THE CLIPS ARE JAMESATWAR's CLIPS. SONG BY JAMESATWAR! I KNOW IT ISN'T MY SONG. Now that you've read that, found the clips on youtube. I KNOW IT ISN'T MY SONG!"
B4AQsl9JwPQ,"Belvedere - Excuse Me, Can I use this Chair Live",Belvedere live
bjPTICZDt2E,Aurum- Milan,Aurum en el Teatro Estudio Cavaret 16 de Dic 2007 abriendo tokin de Insite
nRipaXMRBfM,Eurovision 2008 Second Semi-Final: Czech Republic Live,Eurovision 2008 Second Semi-Final. . .Czech Republic Live. . .Tereza Kerndlova Have Some Fun. . .
5xJKiKcY4G0,"Making Of ""White Piano"" with Director Timothy McConville","Producer Rob Czar talks with Dutchess drummer and music video director Timothy McConville about the making of ""White Piano."" Tune in now to learn more about stop motion and how to adjust music video concepts to fit within a budget.

Come back Thursday for the $99 Music Video premiere of Dutchess' ""White Piano"".

Links from this Episode:
Timothy McConville - http://www.timothymcconville.com/TM/TM.html
Dutchess - http://www.myspace.com/dutchessmusic

Follow us on Twitter - http://www.twitter.com/99dollarmusic
Become a fan on Facebook: http://www.facebook.com/pages/99-Music-Videos/45532331871"
DroEeDOxgoY,King Crimson's RED - Cruise to the Edge Jam 2014,"This is what happens when a bunch of talented musicians/progressive music fans who never met or rehearsed with each other before, get together to perform their favorite songs while some of their idols looked on (or joined in) while on a 5 day Progressive Rock cruise!"
vIpYVMw-jvc,stereo hearts gym class heroes,"stereo hearts , gym class heroes club nokia 6/17.11"
s7O4IZT6QY0,"""Turn the Beat Around"" - Mayfair High School Mariners 2010","Live @ Sneak Preview

Soloist: Araya Nicks"
tgjLZ0Hlvo0,DUI - Haterz - Music Video (Ty Durden & Cymple Man),One of the illest groups in the game let us produce their music video!!  Get Your Hateraid Up!!
jXjWRRRXfKE,"""Don't Mine At Night - Minecraft Animation","After 7 hours of editing it's finally finished.
Thanks to Minecraft wiki and Minecraftopia for pictures
Thanks to Walgreens where I got those figures. Minecraft is owned by Notch and the song is owned by Brad Knauber

Created using Video Star: http://VideoStarApp.com/FREE"
vxgNBDz3rac,Linkin Park Crawling Krawling Piano,"me at home.. got bored over spring break..
playing piano transcribed krawling/crawling"
dggebtse_1g,Ricetta pasta e fagioli,Il nuovo singolo dei Luna Rossa !!!!! scaricabile gratuitamente da http://www.lunaband.it
HR4PvkYzIFA,Kanye West - Runaway  Piano Tutorial,kanye west runaway piano tutorial
crjqUzLxH9w,Iron Maiden - El Dorado  - NEW SONG 2010 - GUITAR COVER,"COVER BY PEDRO SORIANO ALVES FROM RIO DE JANEIRO/BRAZIL!

Little gift (version 1.0) to Bruna Semler =]

 FROM THE ALBUM THE FINAL FRONTIER

Gotta tell you a story
On a cold winters night
You'll be sailin for glory
Before you know what is right

So come over here now
I got a vision for you
It's my personal snake oil
It's just something I do

I'm the jester with no tears
And I'm playing on your fears
I'm a trickster smiling underneath this mask of love and death
The eternal lie I've told
About the pyramids of gold
I've got you hooked at every turn your money's left to burn

You'll be wanting a contract
You'll be waiting a while
I'd like to give you my contact
But that isn't my style

Well you only get one chance
And it's too good to miss
If I gave a lot to ya
Then I wouldn't exist

Greed, lust and angry pride
It's the same old, same old ride
The smoke and mirrors visions that you see are just like me
I'm a banker's face
With just a letter out of place
I know someone just like you knows someone just like me

El Dorado come and play
El Dorado step this way
Take a ticket for the ride
El Dorado streets of gold
See those over sold
You've got one last chance to try

So gone is the glory
And gone is the gold
Well if you need a story
I've come it has to be told

Well you can say I'm a devil
And I wouldn't say no
But out here on the dark side
Hey, on with the show

So is told
Big and bad and twice as bold
This ship of fools is sinking as the cracks begin to grow
There is no easy way
For an honest man today
Which is something you should think of as my life boat sails away

El Dorado come and play
El Dorado step this way
Take a ticket for the ride
El Dorado streets of gold
See those over sold
You've got one last chance to try"
uCO6b6-tSLE,Rubay Lacika,"An Hungarian little super talented boy who never learned dancing and nobody teach him for dance, he learned this by internet. He is so amazing and professional now. He's 9 years old. He has a fantastic sense for the dance. The boy is wear grey trainee top and black trousers."
ENXA7EtS1ZE,Airbone by George Bellas (played by Toni Lloret),"www.tonilloret.net
Airbone by George Bellas. Instrumental Guitar Solo. Played by Toni Lloret."
8IlBxAypFzE,Tweed Deluxe 5E3 Clone vs Fender Blues Junior 3 #1.mp4,Tweed Deluxe 5E3 Clone vs Fender Blues Junior 3 on stage #1
vmvuMjRKh_Y,PEACE - Wraith (Drum Cover),"NO COPYRIGHT INFRINGEMENT INTENDED
SUBSCRIBE FOR MORE DRUM COVERS

This is a drum cover of Wraith by PEACE.

I've been a big fan of this band for a while, and I've been meaning to do a cover for some time.

Equipment used:

Mapex Saturn kit consisting of: Bass Drum (22x18), Rack Tom (12x9) and Floor Tom (16x16) + Mapex Black Panther 'Blade' Snare Drum (14x5.5).
Zildjian ZXT cymbals: 14"" hi-hats, 16"" Crash, 18"" Crash and 20"" Ride.
Hardware: Tama Iron Cobra Kick pedal + various Mapex and Tama stands.

Presonus Firestudio interface and Red5 audio mics into a Macbook running Logic Express 8."
dhlDqAl7rk4,Burg Meersburg - Historischer Tanz - Masseny - dance historic,Ein VIDEO von www.zeitreise.jimdo.com
J04teS1pXLU,dieu uoc dem giang sinh-nhom the bells,"Dieu uoc dem giang sinh
sang tac: Mai Thanh
trinh bay: nhom The Bells"
mRkB3Ge3FQo,"Dean DiMarzo - Daft Drums - ""Harder, Better, Faster, Stronger""","A live drum performance of the Daft Punk hit ""Harder, Better, Faster, Stronger"""
L0wwY2nnlnM,Korean Wedding Song,"Episode 3 - ""Barry Schmaltz: Just Vamps!""

Barry Schmaltz shows how a vamp can be a song, and demonstrates by playing ""Korean Wedding Song"" in a sort of Brazilian style, rendering it fusion.  We hear the resonant room frequency and we learn Barry Schmaltz's perspective on the power of belief and the inadequacy of the word ""god""."
TwHPni3zqDs,"Rawlinson A1 Band 2014-2015 - ""Highlights from the Star Wars Saga""","NO COPYRIGHT INFRINGEMENT INTENDED

The Rawlinson A1 Band playing at the Music Lover's Annual Spaghetti Dinner and Silent Auction. I do not own the picture used in the thumbnail.

""Highlights from the Star Wars Saga""
Music by John Williams
Arranged by Paul Cook"
F-fBTJpRt5I,Bruno Mars - Just The Way You Are  [Drum Cover],Dean Minerva Plays Just The Way You Are by Bruno Mars
lvK1azFQ7Vo,Digimon Tamers AMV - So Cold,"My first crappy AMV, the ending was horrible because I didn't had any more clips to continue the battle."
UZBYy46Cc4E,Mariana Y El Ballet De Venga La Alegria - Rabiosa,waooooooo
xGvnXQHfI9g,Patrick Miller - Dancing In London (David May Original Mix) (Official Video HD),"Patrick Miller - Dancing In London(David May Original Mix)(Official Video HD)
Get the song on itunes."
xGYUeoEhc9M,Squirrel Song,The Squirel Song - performed by the greatest band on earth c. 2003! :O
